№,Действие,,Ожидаемый результат,,Статус,Комментарий,Окружение
1,Ввод корректного ФИО и даты рождения. (Пономарев Максим Игоревич 10.09.2004),,После выполнения программы нам вернуло 19,,passed,,Windows 11 Pro 64x. Яндекс Браузер 24.1
2,Ввод ФИО и даты рождения с использованием граничных значений.,,Программа все обработала без ошибок,,passed,,
3,"Ввод некорректных данных (например, цифры в поле ФИО, буквы в поле даты рождения).",,Программа выдала ошибку,,passed,,
4,"Ввод специальных символов и скриптов для проверки на уязвимости (например, SQL-инъекции, XSS).",,"Приложение защищено от инъекций и скриптов, не происходит никакого выполнения или отображения специальных символов.",,,,
5,Попытка отправить пустые поля.,,Приложение не принимает некорректные данные и отображает соответствующие сообщения об ошибках.,,,,
6,"Кнопка ""Рассчитать возраст"" активна при корректном заполнении полей.",,Программа все обработала без ошибок,,,,
7,"Кнопка реагирует на нажатия (клик мышью, нажатие Enter на клавиатуре).",,Программа все обработала без ошибок,,,,
8,Чёткость и понятность сообщений об ошибках для пользователя.,,Программа все обработала без ошибок,,,,
9,"Поле для ввода даты не принимает значения, которые не являются датами.",,"Поля ввода корректно ограничивают тип данных, который может быть в них введён, и отклоняют недопустимые значения.",,,,
10,Поле для ввода ФИО не принимает цифры и специальные символы.,,"Поля ввода корректно ограничивают тип данных, который может быть в них введён, и отклоняют недопустимые значения.",,,,
11,"Элементы формы чётко видны и не перекрываются на разных устройствах, разрешениях экрана и в разных браузерах.",,"Элементы формы отображаются корректно на всех устройствах и во всех браузерах, без перекрытий или искажений.",,,,
12,Приложение правильно рассчитывает возраст на текущую дату.,,"Приложение точно рассчитывает возраст, учитывая текущую дату и високосные годы.",,,,
13,"Убедиться, что данные корректно записываются в базу данных",,"Данные записываются в базу данных корректно, без ошибок",,,,
14,Проверка логов на сервере на предмет ошибок при обработке данных формы.,,"Логи сервера не содержат критических ошибок, связанных с обработкой данных формы.",,,,
15,Проверить статус коды,,Сервер корректно обрабатывает запросы и отдаёт правильные ответы.,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"Список типов и видов тестирования, что я использовал:",,,,,,
,,,,,,,
,Функциональное тестирование,,,,,,
,Граничное тестирование,,,,,,
,Тестирование на негативный сценарий,,,,,,
,Тестирование безопасности,,,,,,
,Тестирование пользовательского интерфейса,,,,,,
,:Тестирование совместимости ,,,,,,
,Тестирование отзывчивости ,,,,,,